"ecosystem_type","name2","realm","metric","value"
"Soft Bottom","KONA KAU","Marine","change_km2_2013_2019",0
"Soft Bottom","KONA KAU","Marine","change_km2_2016_2019",0
"Soft Bottom","KONA KAU","Marine","dir_2013_2016",0
"Soft Bottom","KONA KAU","Marine","dir_2013_2019",0
"Soft Bottom","KONA KAU","Marine","dir_2016_2019",0
"Soft Bottom","KONA KAU","Marine","pct_change_2013_2016",0
"Soft Bottom","KONA KAU","Marine","pct_change_2013_2019",0
"Soft Bottom","KONA KAU","Marine","pct_change_2016_2019",0
"Soft Bottom","KONA LAN","Marine","area_km2_2013",4.31
"Soft Bottom","KONA LAN","Marine","area_km2_2016",4.31
"Soft Bottom","KONA LAN","Marine","area_km2_2019",4.31
"Soft Bottom","KONA LAN","Marine","change_km2_2013_2016",0
"Soft Bottom","KONA LAN","Marine","change_km2_2013_2019",0
"Soft Bottom","KONA LAN","Marine","change_km2_2016_2019",0
"Soft Bottom","KONA LAN","Marine","dir_2013_2016",0
"Soft Bottom","KONA LAN","Marine","dir_2013_2019",0
"Soft Bottom","KONA LAN","Marine","dir_2016_2019",0
"Soft Bottom","KONA LAN","Marine","pct_change_2013_2016",0
"Soft Bottom","KONA LAN","Marine","pct_change_2013_2019",0
"Soft Bottom","KONA LAN","Marine","pct_change_2016_2019",0
"Soft Bottom","KONA MOL","Marine","area_km2_2013",26.57
"Soft Bottom","KONA MOL","Marine","area_km2_2016",26.57
"Soft Bottom","KONA MOL","Marine","area_km2_2019",26.57
"Soft Bottom","KONA MOL","Marine","change_km2_2013_2016",0
"Soft Bottom","KONA MOL","Marine","change_km2_2013_2019",0
"Soft Bottom","KONA MOL","Marine","change_km2_2016_2019",0
"Soft Bottom","KONA MOL","Marine","dir_2013_2016",0
"Soft Bottom","KONA MOL","Marine","dir_2013_2019",0
"Soft Bottom","KONA MOL","Marine","dir_2016_2019",0
"Soft Bottom","KONA MOL","Marine","pct_change_2013_2016",0
"Soft Bottom","KONA MOL","Marine","pct_change_2013_2019",0
"Soft Bottom","KONA MOL","Marine","pct_change_2016_2019",0
"Soft Bottom","KONA NIH","Marine","area_km2_2013",3.68
"Soft Bottom","KONA NIH","Marine","area_km2_2016",3.68
"Soft Bottom","KONA NIH","Marine","area_km2_2019",3.68
"Soft Bottom","KONA NIH","Marine","change_km2_2013_2016",0
"Soft Bottom","KONA NIH","Marine","change_km2_2013_2019",0
"Soft Bottom","KONA NIH","Marine","change_km2_2016_2019",0
"Soft Bottom","KONA NIH","Marine","dir_2013_2016",0
"Soft Bottom","KONA NIH","Marine","dir_2013_2019",0
"Soft Bottom","KONA NIH","Marine","dir_2016_2019",0
"Soft Bottom","KONA NIH","Marine","pct_change_2013_2016",0
"Soft Bottom","KONA NIH","Marine","pct_change_2013_2019",0
"Soft Bottom","KONA NIH","Marine","pct_change_2016_2019",0
"Soft Bottom","KONA OAH","Marine","area_km2_2013",7.99
"Soft Bottom","KONA OAH","Marine","area_km2_2016",7.99
"Soft Bottom","KONA OAH","Marine","area_km2_2019",7.99
"Soft Bottom","KONA OAH","Marine","change_km2_2013_2016",0
"Soft Bottom","KONA OAH","Marine","change_km2_2013_2019",0
"Soft Bottom","KONA OAH","Marine","change_km2_2016_2019",0
"Soft Bottom","KONA OAH","Marine","dir_2013_2016",0
"Soft Bottom","KONA OAH","Marine","dir_2013_2019",0
"Soft Bottom","KONA OAH","Marine","dir_2016_2019",0
"Soft Bottom","KONA OAH","Marine","pct_change_2013_2016",0
"Soft Bottom","KONA OAH","Marine","pct_change_2013_2019",0
"Soft Bottom","KONA OAH","Marine","pct_change_2016_2019",0
"Soft Bottom","KOOLAU KAH","Marine","area_km2_2013",1.31
"Soft Bottom","KOOLAU KAH","Marine","area_km2_2016",1.31
"Soft Bottom","KOOLAU KAH","Marine","area_km2_2019",1.31
"Soft Bottom","KOOLAU KAH","Marine","change_km2_2013_2016",0
"Soft Bottom","KOOLAU KAH","Marine","change_km2_2013_2019",0
"Soft Bottom","KOOLAU KAH","Marine","change_km2_2016_2019",0
"Soft Bottom","KOOLAU KAH","Marine","dir_2013_2016",0
"Soft Bottom","KOOLAU KAH","Marine","dir_2013_2019",0
"Soft Bottom","KOOLAU KAH","Marine","dir_2016_2019",0
"Soft Bottom","KOOLAU KAH","Marine","pct_change_2013_2016",0
"Soft Bottom","KOOLAU KAH","Marine","pct_change_2013_2019",0
"Soft Bottom","KOOLAU KAH","Marine","pct_change_2016_2019",0
"Soft Bottom","KOOLAU KAU","Marine","area_km2_2013",3.52
"Soft Bottom","KOOLAU KAU","Marine","area_km2_2016",3.52
"Soft Bottom","KOOLAU KAU","Marine","area_km2_2019",3.52
"Soft Bottom","KOOLAU KAU","Marine","change_km2_2013_2016",0
"Soft Bottom","KOOLAU KAU","Marine","change_km2_2013_2019",0
"Soft Bottom","KOOLAU KAU","Marine","change_km2_2016_2019",0
"Soft Bottom","KOOLAU KAU","Marine","dir_2013_2016",0
"Soft Bottom","KOOLAU KAU","Marine","dir_2013_2019",0
"Soft Bottom","KOOLAU KAU","Marine","dir_2016_2019",0
"Soft Bottom","KOOLAU KAU","Marine","pct_change_2013_2016",0
"Soft Bottom","KOOLAU KAU","Marine","pct_change_2013_2019",0
"Soft Bottom","KOOLAU KAU","Marine","pct_change_2016_2019",0
"Soft Bottom","KOOLAU LAN","Marine","area_km2_2013",12.36
"Soft Bottom","KOOLAU LAN","Marine","area_km2_2016",12.36
"Soft Bottom","KOOLAU LAN","Marine","area_km2_2019",12.36
"Soft Bottom","KOOLAU LAN","Marine","change_km2_2013_2016",0
"Soft Bottom","KOOLAU LAN","Marine","change_km2_2013_2019",0
"Soft Bottom","KOOLAU LAN","Marine","change_km2_2016_2019",0
"Soft Bottom","KOOLAU LAN","Marine","dir_2013_2016",0
"Soft Bottom","KOOLAU LAN","Marine","dir_2013_2019",0
"Soft Bottom","KOOLAU LAN","Marine","dir_2016_2019",0
"Soft Bottom","KOOLAU LAN","Marine","pct_change_2013_2016",0
"Soft Bottom","KOOLAU LAN","Marine","pct_change_2013_2019",0
"Soft Bottom","KOOLAU LAN","Marine","pct_change_2016_2019",0
"Soft Bottom","KOOLAU MOL","Marine","area_km2_2013",2.05
"Soft Bottom","KOOLAU MOL","Marine","area_km2_2016",2.05
"Soft Bottom","KOOLAU MOL","Marine","area_km2_2019",2.05
"Soft Bottom","KOOLAU MOL","Marine","change_km2_2013_2016",0
"Soft Bottom","KOOLAU MOL","Marine","change_km2_2013_2019",0
"Soft Bottom","KOOLAU MOL","Marine","change_km2_2016_2019",0
"Soft Bottom","KOOLAU MOL","Marine","dir_2013_2016",0
"Soft Bottom","KOOLAU MOL","Marine","dir_2013_2019",0
"Soft Bottom","KOOLAU MOL","Marine","dir_2016_2019",0
"Soft Bottom","KOOLAU MOL","Marine","pct_change_2013_2016",0
"Soft Bottom","KOOLAU MOL","Marine","pct_change_2013_2019",0
"Soft Bottom","KOOLAU MOL","Marine","pct_change_2016_2019",0
"Soft Bottom","KOOLAU NIH","Marine","area_km2_2013",2.83
"Soft Bottom","KOOLAU NIH","Marine","area_km2_2016",2.83
"Soft Bottom","KOOLAU NIH","Marine","area_km2_2019",2.83
"Soft Bottom","KOOLAU NIH","Marine","change_km2_2013_2016",0
"Soft Bottom","KOOLAU NIH","Marine","change_km2_2013_2019",0
"Soft Bottom","KOOLAU NIH","Marine","change_km2_2016_2019",0
"Soft Bottom","KOOLAU NIH","Marine","dir_2013_2016",0
"Soft Bottom","KOOLAU NIH","Marine","dir_2013_2019",0
"Soft Bottom","KOOLAU NIH","Marine","dir_2016_2019",0
"Soft Bottom","KOOLAU NIH","Marine","pct_change_2013_2016",0
"Soft Bottom","KOOLAU NIH","Marine","pct_change_2013_2019",0
"Soft Bottom","KOOLAU NIH","Marine","pct_change_2016_2019",0
"Soft Bottom","KOOLAULOA","Marine","area_km2_2013",9.35
"Soft Bottom","KOOLAULOA","Marine","area_km2_2016",9.35
"Soft Bottom","KOOLAULOA","Marine","area_km2_2019",9.35
"Soft Bottom","KOOLAULOA","Marine","change_km2_2013_2016",0
"Soft Bottom","KOOLAULOA","Marine","change_km2_2013_2019",0
"Soft Bottom","KOOLAULOA","Marine","change_km2_2016_2019",0
"Soft Bottom","KOOLAULOA","Marine","dir_2013_2016",0
"Soft Bottom","KOOLAULOA","Marine","dir_2013_2019",0
"Soft Bottom","KOOLAULOA","Marine","dir_2016_2019",0
"Soft Bottom","KOOLAULOA","Marine","pct_change_2013_2016",0
"Soft Bottom","KOOLAULOA","Marine","pct_change_2013_2019",0
"Soft Bottom","KOOLAULOA","Marine","pct_change_2016_2019",0
"Soft Bottom","KOOLAUPOKO","Marine","area_km2_2013",27.52
"Soft Bottom","KOOLAUPOKO","Marine","area_km2_2016",27.52
"Soft Bottom","KOOLAUPOKO","Marine","area_km2_2019",27.52
"Soft Bottom","KOOLAUPOKO","Marine","change_km2_2013_2016",0
"Soft Bottom","KOOLAUPOKO","Marine","change_km2_2013_2019",0
"Soft Bottom","KOOLAUPOKO","Marine","change_km2_2016_2019",0
"Soft Bottom","KOOLAUPOKO","Marine","dir_2013_2016",0
"Soft Bottom","KOOLAUPOKO","Marine","dir_2013_2019",0
"Soft Bottom","KOOLAUPOKO","Marine","dir_2016_2019",0
"Soft Bottom","KOOLAUPOKO","Marine","pct_change_2013_2016",0
"Soft Bottom","KOOLAUPOKO","Marine","pct_change_2013_2019",0
"Soft Bottom","KOOLAUPOKO","Marine","pct_change_2016_2019",0
"Soft Bottom","KULA","Marine","area_km2_2013",13.62
"Soft Bottom","KULA","Marine","area_km2_2016",13.62
"Soft Bottom","KULA","Marine","area_km2_2019",13.62
"Soft Bottom","KULA","Marine","change_km2_2013_2016",0
"Soft Bottom","KULA","Marine","change_km2_2013_2019",0
"Soft Bottom","KULA","Marine","change_km2_2016_2019",0
"Soft Bottom","KULA","Marine","dir_2013_2016",0
"Soft Bottom","KULA","Marine","dir_2013_2019",0
"Soft Bottom","KULA","Marine","dir_2016_2019",0
